Show,Code,Name,Cost,OnBox,Img
1,51103,"Удлинитель 5/3 м. c зазмлен. с выкл. "" Жемчужина""",17.95,12,/dist/images/de-pa-electric/pearl-series/51100.png
1,51105,"Удлинитель 5/5 м. c зазмлен. с выкл. "" Жемчужина""",22.28,12,/dist/images/de-pa-electric/pearl-series/51100.png
1,51200,Колодка 5 гнезд с заземл. с выкл с терминалом c UPS,12.38,24,/dist/images/de-pa-electric/pearl-series/51100.png
1,51202,Удлинитель 5/2м. с заземлен. c выключателем с UPS,18.44,12,/dist/images/de-pa-electric/pearl-series/51100.png
1,60000,"Колодка 6 гнезда без.заземлен. ""Жемчужина""",7.16,30,/dist/images/de-pa-electric/pearl-series/60000.png
1,60002,"Удлинитель 6/2м без.заземлен. ""Жемчужина""",12.08,20,/dist/images/de-pa-electric/pearl-series/60000.png
1,60003,"Удлинитель 6/3м без.заземлен. ""Жемчужина""",13.72,20,/dist/images/de-pa-electric/pearl-series/60000.png
1,60005,"Удлинитель 6/5м без.заземлен. ""Жемчужина""",16.72,20,/dist/images/de-pa-electric/pearl-series/60000.png
1,60010,"Удлинитель 6/10м без.заземлен. ""Жемчужина""",21.67,,/dist/images/de-pa-electric/pearl-series/60000.png
1,60100,"Колодка 6 гнезд c зазмлен.""Жемчужина""",8.14,24,/dist/images/de-pa-electric/pearl-series/60100.png
1,60102,"Удлинитель 6/2м. c зазмлен.""Жемчужина""",14.41,12,/dist/images/de-pa-electric/pearl-series/60100.png
1,60103,"Удлинитель 6/3 м. c зазмлен.""Жемчужина""",16.58,12,/dist/images/de-pa-electric/pearl-series/60100.png
1,60105,"Удлинитель 6/5 м. c зазмлен.""Жемчужина""",20.93,12,/dist/images/de-pa-electric/pearl-series/60100.png
1,60200,Колодка 6 гнезд c зазмлен. -UPS,10.57,24,/dist/images/de-pa-electric/pearl-series/60100.png
1,60202,Удлинитель 6/2м. c зазмлен.- UPS,16.58,12,/dist/images/de-pa-electric/pearl-series/60100.png
1,61000,"Колодка 6 гнезда .без.заземлен. с выкл. ""Жемчужина""",9.95,30,/dist/images/de-pa-electric/pearl-series/61000.png
1,61002,"Удлинитель 6/2м .без.заземлен. с выкл. ""Жемчужина""",14.87,20,/dist/images/de-pa-electric/pearl-series/61000.png
1,61003,"Удлинитель 6/3м без.заземлен. с выкл. ""Жемчужина""",16.72,20,/dist/images/de-pa-electric/pearl-series/61000.png
1,61005,"Удлинитель 6/5м .без.заземлен. с выкл. ""Жемчужина""",19.50,20,/dist/images/de-pa-electric/pearl-series/61000.png
1,61010,"Удлинитель 6/10м .без.заземлен. с выкл. ""Жемчужина""",24.32,,/dist/images/de-pa-electric/pearl-series/61000.png
1,61100,"Колодка 6 гнезд c заз . с выкл. ""Жемчужина""",10.44,24,/dist/images/de-pa-electric/pearl-series/61100.png
1,61102,"Удлинитель 6/2м c зазмлен . с выкл. ""Жемчужина""",16.72,12,/dist/images/de-pa-electric/pearl-series/61100.png
1,61103,"Удлинитель 6/3м c зазмлен . с выкл.""Жемчужина""",19.06,12,/dist/images/de-pa-electric/pearl-series/61100.png
1,61105,"Удлинитель 6/5м c зазмлен . с выкл.""Жемчужина""",23.45,12,/dist/images/de-pa-electric/pearl-series/61100.png
1,61200,Колодка 6 гнезд c заз . с выкл.-UPS,18.26,24,/dist/images/de-pa-electric/pearl-series/61100.png
1,61202,Удлинитель 6/2м c зазмлен . с выкл.- UPS,19.24,12,/dist/images/de-pa-electric/pearl-series/61100.png
1,980100,"колодка 8 гнезд с заземлен. ""Жемчужина""",14.87,28,/dist/images/de-pa-electric/pearl-series/980100.png
1,980102,"Удлинитель 8/2 м c зазмлен. ""Жемчужина""",23.35,12,/dist/images/de-pa-electric/pearl-series/980100.png
1,980103,"Удлинитель 8/3 м c зазмлен.""Жемчужина""",25.48,12,/dist/images/de-pa-electric/pearl-series/980100.png
1,980105,"Удлинитель 8/5 м c зазмлен. ""Жемчужина""",31.84,12,/dist/images/de-pa-electric/pearl-series/980100.png
